file_name,title,object,event,property,scene,caption
pepe_5,"Fans are livid after the camera caught an off-the-ball incident involving Portugal's Pepe and Morocco's Medhi Benatia. Benatia tapped Pepe on the shoulder – only for the Portuguese icon to fall crashing to the ground in dramatic fashion. Fans branded Pepe ""pathetic"" for the ""shameful"" dive – as the tap inarguably had very little force to it.","Pepe (Portugal player), Medhi Benatia (Morocco player).","Off-the-ball incident, diving.","Pepe representing Portugal, wearing the team jersey. Benatia representing Morocco, in his team jersey.","A moment during a match between Portugal and Morocco, capturing Pepe dramatically falling to the ground after a light tap from Benatia, showcasing the controversy and frustration among fans regarding perceived simulation and theatrics in football, highlighting the intensity and scrutiny of player interactions on the field.","Object: Pepe (Portugal player), Medhi Benatia (Morocco player). Events: Off-the-ball incident, diving. Property: Pepe representing Portugal, wearing the team jersey. Benatia representing Morocco, in his team jersey. Scene: A moment during a match between Portugal and Morocco, capturing Pepe dramatically falling to the ground after a light tap from Benatia, showcasing the controversy and frustration among fans regarding perceived simulation and theatrics in football, highlighting the intensity and scrutiny of player interactions on the field."
pepe_6,Pepe shown straight red card against Sporting Lisbon for 'punching' player in the face.,"Pepe (player in blue), Sporting Lisbon player (in green).","Punching, receiving a red card.","Pepe representing his team, wearing a blue jersey. The Sporting Lisbon player in green, possibly injured.","A competitive match between Pepe's team and Sporting Lisbon, capturing the moment when Pepe throws a punch at the opposing player, leading to the referee issuing a straight red card, illustrating aggressive behavior and the consequences of violent conduct in soccer.","Object: Pepe (player in blue), Sporting Lisbon player (in green). Events: Punching, receiving a red card. Property: Pepe representing his team, wearing a blue jersey. The Sporting Lisbon player in green, possibly injured. Scene: A competitive match between Pepe's team and Sporting Lisbon, capturing the moment when Pepe throws a punch at the opposing player, leading to the referee issuing a straight red card, illustrating aggressive behavior and the consequences of violent conduct in soccer."
pepe_7,"Pepe deliberately choking Fabregas, which is clear as day, is hardly getting any notice at all.","Pepe (Real Madrid player), Cesc Fabregas (Barcelona player), Neymar (Barcelona player).","Choking, confrontation.","Pepe representing Real Madrid, wearing the team jersey. Fabregas representing Barcelona, in his team jersey. Neymar watching the confrontation.","A heated moment during an El Clásico match between Real Madrid and Barcelona, capturing Pepe aggressively choking Fabregas while Neymar looks on, emphasizing the intense rivalry and physical confrontations that can occur in high-stakes matches, as well as the scrutiny surrounding player conduct on the field.","Object: Pepe (Real Madrid player), Cesc Fabregas (Barcelona player), Neymar (Barcelona player). Events: Choking, confrontation. Property: Pepe representing Real Madrid, wearing the team jersey. Fabregas representing Barcelona, in his team jersey. Neymar watching the confrontation. Scene: A heated moment during an El Clásico match between Real Madrid and Barcelona, capturing Pepe aggressively choking Fabregas while Neymar looks on, emphasizing the intense rivalry and physical confrontations that can occur in high-stakes matches, as well as the scrutiny surrounding player conduct on the field."
suarez_1,Suarez scores his first - a volley from 35 yards.,"Luis Suarez (Liverpool player), goalkeeper (of the opposing team).","Scoring a goal, volleying the ball.","Suarez representing Liverpool, wearing the team jersey. the opposing goalkeeper attempting to defend.","A match at Anfield, home of Liverpool FC, capturing the moment when Suarez sends a spectacular volley from 35 yards into the goal, highlighting his skill and the excitement of scoring a remarkable goal for his team.","Object: Luis Suarez (Liverpool player), goalkeeper (of the opposing team). Events: Scoring a goal, volleying the ball. Property: Suarez representing Liverpool, wearing the team jersey. the opposing goalkeeper attempting to defend. Scene: A match at Anfield, home of Liverpool FC, capturing the moment when Suarez sends a spectacular volley from 35 yards into the goal, highlighting his skill and the excitement of scoring a remarkable goal for his team."
suarez_2,"Liverpool's Luis Suarez (L) celebrates after scoring a goal against Tottenham Hotspur during their English Premier League soccer match at White Hart Lane in London December 15, 2013.","Luis Suarez (Liverpool player), Glen Johnson (Liverpool player).",Celebrating a goal.,"Suarez representing Liverpool, wearing the team jersey. Johnson also representing Liverpool, in his team jersey.","An English Premier League match at White Hart Lane in London, capturing the joy and excitement as Suarez celebrates his goal against Tottenham Hotspur, with Johnson joining in the celebration, highlighting the camaraderie and intensity of the match.","Object: Luis Suarez (Liverpool player), Glen Johnson (Liverpool player). Events: Celebrating a goal. Property: Suarez representing Liverpool, wearing the team jersey. Johnson also representing Liverpool, in his team jersey. Scene: An English Premier League match at White Hart Lane in London, capturing the joy and excitement as Suarez celebrates his goal against Tottenham Hotspur, with Johnson joining in the celebration, highlighting the camaraderie and intensity of the match."
suarez_3,Never forget when Luis Suarez nutmegged David Luiz TWICE on two separate occasions and scored each time for Barcelona against PSG in the Champions League 🔥 He even made sure to put it top bins on the second one 😮‍💨,"Luis Suarez (Barcelona player), David Luiz (Paris Saint-Germain player).","Nutmegging, scoring goals.","Suarez representing Barcelona, wearing the team kit. Luiz representing PSG, in his team jersey.","A UEFA Champions League match between Barcelona and Paris Saint-Germain, showcasing moments where Suarez skillfully nutmegged Luiz on two occasions, followed by scoring both times, with one goal hitting the top corner of the net, emphasizing Suarez's exceptional skill and the excitement of high-stakes matches.","Object: Luis Suarez (Barcelona player), David Luiz (Paris Saint-Germain player). Events: Nutmegging, scoring goals. Property: Suarez representing Barcelona, wearing the team kit. Luiz representing PSG, in his team jersey. Scene: A UEFA Champions League match between Barcelona and Paris Saint-Germain, showcasing moments where Suarez skillfully nutmegged Luiz on two occasions, followed by scoring both times, with one goal hitting the top corner of the net, emphasizing Suarez's exceptional skill and the excitement of high-stakes matches."
suarez_4,Luis Suarez puts the ball through David Luiz's legs on his way to scoring his second goal of the night.,"Luis Suarez (Barcelona player), David Luiz (Paris Saint-Germain player).","Nutmegging, scoring a goal.","Suarez representing Barcelona, wearing the team kit. Luiz representing Paris Saint-Germain, in his team jersey.","A UEFA Champions League match between Barcelona and Paris Saint-Germain, capturing the moment when Suarez skillfully nutmegs Luiz as he moves towards the goal, setting up for his second goal of the night, highlighting the intensity and skill showcased in elite football.","Object: Luis Suarez (Barcelona player), David Luiz (Paris Saint-Germain player). Events: Nutmegging, scoring a goal. Property: Suarez representing Barcelona, wearing the team kit. Luiz representing Paris Saint-Germain, in his team jersey. Scene: A UEFA Champions League match between Barcelona and Paris Saint-Germain, capturing the moment when Suarez skillfully nutmegs Luiz as he moves towards the goal, setting up for his second goal of the night, highlighting the intensity and skill showcased in elite football."
suarez_5,Luis Suarez ademonstrated against West Brom that his skill matches the best when he performed a rabona.,"Luis Suarez (Liverpool player), West Bromwich Albion player (defender).","Performing a rabona, dribbling past an opponent.","Suarez representing Liverpool, wearing the team jersey. the West Brom player in their team jersey.","A Premier League match at Anfield, featuring Suarez showcasing his exceptional skills with a rabona while navigating past a West Brom defender, emphasizing his talent and creativity on the field in a competitive match.","Object: Luis Suarez (Liverpool player), West Bromwich Albion player (defender). Events: Performing a rabona, dribbling past an opponent. Property: Suarez representing Liverpool, wearing the team jersey. the West Brom player in their team jersey. Scene: A Premier League match at Anfield, featuring Suarez showcasing his exceptional skills with a rabona while navigating past a West Brom defender, emphasizing his talent and creativity on the field in a competitive match."
suarez_6,"Barcelona forward Luis Suarez (R) vies with Real Madrid defender Pepe during the ""El Clasico"" Spanish league at the Camp Nou stadium in Barcelona on March 22, 2015.","Luis Suarez (Barcelona player), Pepe (Real Madrid player).","Vying for the ball, physical challenge.","Suarez representing Barcelona, wearing the team jersey. Pepe representing Real Madrid, wearing the team jersey.","An El Clásico match at Camp Nou between Barcelona and Real Madrid on March 22, 2015, capturing the competitive moment as Suarez and Pepe challenge each other for possession of the ball, highlighting the intense rivalry and high stakes in one of football's most famous fixtures.","Object: Luis Suarez (Barcelona player), Pepe (Real Madrid player). Events: Vying for the ball, physical challenge. Property: Suarez representing Barcelona, wearing the team jersey. Pepe representing Real Madrid, wearing the team jersey. Scene: An El Clásico match at Camp Nou between Barcelona and Real Madrid on March 22, 2015, capturing the competitive moment as Suarez and Pepe challenge each other for possession of the ball, highlighting the intense rivalry and high stakes in one of football's most famous fixtures."
suarez_7,Suárez scored a majestic volley as Barcelona confirmed their place in the last eight of the Champions League at Arsenal’s expense.,"Luis Suarez (Barcelona player), Arsenal players (defenders).","Scoring a goal, volleying the ball.","Suarez representing Barcelona, wearing the team jersey. Arsenal players in their team jerseys.","A UEFA Champions League match featuring Barcelona and Arsenal, capturing the moment when Suarez executes a stunning volley into the net, highlighting his technical skill and confirming Barcelona's advancement to the quarter-finals, underlining the competitive atmosphere of European football.","Object: Luis Suarez (Barcelona player), Arsenal players (defenders). Events: Scoring a goal, volleying the ball. Property: Suarez representing Barcelona, wearing the team jersey. Arsenal players in their team jerseys. Scene: A UEFA Champions League match featuring Barcelona and Arsenal, capturing the moment when Suarez executes a stunning volley into the net, highlighting his technical skill and confirming Barcelona's advancement to the quarter-finals, underlining the competitive atmosphere of European football."
suarez_8,Barcelona’s Luis Suarez scored on a superb volley against Celtic.,"Luis Suarez (Barcelona player), Celtic player.","Scoring a goal, volleying the ball.","Suarez representing Barcelona, wearing the team jersey. Celtic player in green and white stripes.","A UEFA Champions League match between Barcelona and Celtic, capturing the moment when Suarez connects with the ball for a spectacular volley, emphasizing his striking ability and the excitement of securing a goal in a high-stakes European competition.","Object: Luis Suarez (Barcelona player), Celtic player. Events: Scoring a goal, volleying the ball. Property: Suarez representing Barcelona, wearing the team jersey. Celtic player in green and white stripes. Scene: A UEFA Champions League match between Barcelona and Celtic, capturing the moment when Suarez connects with the ball for a spectacular volley, emphasizing his striking ability and the excitement of securing a goal in a high-stakes European competition."
suarez_9,Luis Suarez scored the opener with an acrobatic overhead kick after Messi's cross was flicked up by a Sevilla defender.,"Luis Suarez (Barcelona player), Sevilla defender.","Scoring a goal, executing an overhead kick.","Suarez representing Barcelona, wearing the team jersey. Sevilla defender in their team jersey.","A match between Barcelona and Sevilla, capturing the moment when Suarez scores the opening goal with a spectacular overhead kick after a cross from Messi that was flicked up by a Sevilla defender, highlighting his acrobatic skill and the excitement of the game.","Object: Luis Suarez (Barcelona player), Sevilla defender. Events: Scoring a goal, executing an overhead kick. Property: Suarez representing Barcelona, wearing the team jersey. Sevilla defender in their team jersey. Scene: A match between Barcelona and Sevilla, capturing the moment when Suarez scores the opening goal with a spectacular overhead kick after a cross from Messi that was flicked up by a Sevilla defender, highlighting his acrobatic skill and the excitement of the game."
suarez_10,"Luis Suarez of FC Barcelona shoots during the UEFA Champions League Quarter Final match between Barcelona and Bayern Munich at Estadio do Sport Lisboa e Benfica on August 14, 2020 in Lisbon, Portugal.",Luis Suarez (Barcelona player).,Shooting the ball.,"Suarez representing FC Barcelona, wearing the team jersey.","A UEFA Champions League quarter-final match between Barcelona and Bayern Munich at Estadio do Sport Lisboa e Benfica on August 14, 2020, capturing the moment when Suarez takes a shot on goal, emphasizing the high-stakes atmosphere of a critical knockout stage in the tournament.","Object: Luis Suarez (Barcelona player). Events: Shooting the ball. Property: Suarez representing FC Barcelona, wearing the team jersey. Scene: A UEFA Champions League quarter-final match between Barcelona and Bayern Munich at Estadio do Sport Lisboa e Benfica on August 14, 2020, capturing the moment when Suarez takes a shot on goal, emphasizing the high-stakes atmosphere of a critical knockout stage in the tournament."
suarez_11,"Hitman Suarez jumps for joy after opening the scoring in the 11th minute against Deportivo La Coruna, an emphatic start for Barca.","Luis Suarez (Barcelona player), teammates (Deportivo La Coruna players in the background).","Celebrating a goal, jumping for joy.","Suarez representing Barcelona, wearing the team's away jersey. teammates celebrating with him.","A La Liga match against Deportivo La Coruna, capturing the moment Suarez leaps in celebration after scoring the opening goal in the 11th minute, highlighting the excitement and positive start for Barcelona in the game.","Object: Luis Suarez (Barcelona player), teammates (Deportivo La Coruna players in the background). Events: Celebrating a goal, jumping for joy. Property: Suarez representing Barcelona, wearing the team's away jersey. teammates celebrating with him. Scene: A La Liga match against Deportivo La Coruna, capturing the moment Suarez leaps in celebration after scoring the opening goal in the 11th minute, highlighting the excitement and positive start for Barcelona in the game."
suarez_12,Full of confidence Suarez attempted an overhead but this time it didn't find the back of the net on a night where everything else went right.,"Luis Suarez (Barcelona player), Deportivo La Coruna player.","Attempting an overhead kick, missing the goal.","Suarez representing Barcelona, wearing the team's away jersey. Deportivo La Coruna player in their team jersey.","A La Liga match between Barcelona and Deportivo La Coruna, capturing the moment when Suarez confidently attempts an overhead kick, showcasing his skill and audacity, although it does not result in a goal, reflecting the overall positive atmosphere of the game where everything else was going well for his team.","Object: Luis Suarez (Barcelona player), Deportivo La Coruna player. Events: Attempting an overhead kick, missing the goal. Property: Suarez representing Barcelona, wearing the team's away jersey. Deportivo La Coruna player in their team jersey. Scene: A La Liga match between Barcelona and Deportivo La Coruna, capturing the moment when Suarez confidently attempts an overhead kick, showcasing his skill and audacity, although it does not result in a goal, reflecting the overall positive atmosphere of the game where everything else was going well for his team."
suarez_13,"Liverpool's Uruguayan forward Luis Suarez takes a free kick during the English Premier League football match between Manchester City and Liverpool at The Etihad stadium in Manchester, north-west England, on February 3, 2013.",Luis Suarez (Liverpool player).,Taking a free kick.,"Suarez representing Liverpool, wearing the team's jersey.","An English Premier League match between Liverpool and Manchester City at The Etihad Stadium on February 3, 2013, capturing the moment when Suarez takes a free kick, highlighting his focus and skill at a crucial moment in the game.","Object: Luis Suarez (Liverpool player). Events: Taking a free kick. Property: Suarez representing Liverpool, wearing the team's jersey. Scene: An English Premier League match between Liverpool and Manchester City at The Etihad Stadium on February 3, 2013, capturing the moment when Suarez takes a free kick, highlighting his focus and skill at a crucial moment in the game."
suarez_14,"Uruguay forward Luis Suarez celebrates a win after a World Cup match in 2018 in Sochi, Russia.",Luis Suarez (Uruguay player).,Celebrating a win.,"Suarez representing Uruguay, wearing the national team jersey.","A World Cup match in 2018 in Sochi, Russia, capturing the moment when Suarez joyfully celebrates a victory, showcasing the intense emotions and excitement that come with national pride and success in a prestigious tournament.","Object: Luis Suarez (Uruguay player). Events: Celebrating a win. Property: Suarez representing Uruguay, wearing the national team jersey. Scene: A World Cup match in 2018 in Sochi, Russia, capturing the moment when Suarez joyfully celebrates a victory, showcasing the intense emotions and excitement that come with national pride and success in a prestigious tournament."
suarez_15,Luis Suarez waved goodbye to the fans at Gremio after playing his final game with the team.,Luis Suarez.,"Farewell to fans, final game with Gremio.","Emotional farewell, appreciative gestures to fans.","A soccer match atmosphere with fans in the background, rain or light drizzle may suggest a poignant or bittersweet moment.","Object: Luis Suarez. Events: Farewell to fans, final game with Gremio. Property: Emotional farewell, appreciative gestures to fans. Scene: A soccer match atmosphere with fans in the background, rain or light drizzle may suggest a poignant or bittersweet moment."
ramos_1,"In 2016, Champions league final was Real Madrid against Atletico Madrid. Ramos scored but as you can see that goal was also clearly offside.","Sergio Ramos (Real Madrid player), Atletico Madrid players, goalkeeper.","Scoring a goal, being offside.","Ramos representing Real Madrid, wearing the team jersey. Atletico Madrid players in red and white jerseys. Goalkeeper in green.","A moment during the 2016 Champions League final between Real Madrid and Atletico Madrid, highlighting Ramos's controversial goal which was argued to be offside, captured from an aerial view that shows the positioning of players, emphasizing the contentious nature of officiating and crucial decisions in high-stakes matches.","Object: Sergio Ramos (Real Madrid player), Atletico Madrid players, goalkeeper. Events: Scoring a goal, being offside. Property: Ramos representing Real Madrid, wearing the team jersey. Atletico Madrid players in red and white jerseys. Goalkeeper in green. Scene: A moment during the 2016 Champions League final between Real Madrid and Atletico Madrid, highlighting Ramos's controversial goal which was argued to be offside, captured from an aerial view that shows the positioning of players, emphasizing the contentious nature of officiating and crucial decisions in high-stakes matches."
ramos_2,Clattenburg admits Ramos Champions League final goal in 2016 was offside.,"Sergio Ramos (Real Madrid player), Atletico Madrid players, goalkeeper Jan Oblak",,,,"Object: Sergio Ramos (Real Madrid player), Atletico Madrid players, goalkeeper Jan Oblak"
ramos_3,"Real Madrid's Sergio Ramos, left, fouls Liverpool's Mohamed Salah during the Champions League Final soccer match between Real Madrid and Liverpool at the Olimpiyskiy Stadium in Kiev, Ukraine, Saturday, May 26, 2018.","Sergio Ramos (Real Madrid player), Mohamed Salah (Liverpool player).","Fouling, falling to the ground.","Ramos representing Real Madrid, wearing the team jersey. Salah representing Liverpool, in his team jersey.","The Champions League Final match on May 26, 2018, at the Olimpiyskiy Stadium in Kiev, with Ramos committing a foul on Salah, causing him to fall, highlighting the physical nature of the game and the significant moments that can impact match outcomes in high-stakes competitions.","Object: Sergio Ramos (Real Madrid player), Mohamed Salah (Liverpool player). Events: Fouling, falling to the ground. Property: Ramos representing Real Madrid, wearing the team jersey. Salah representing Liverpool, in his team jersey. Scene: The Champions League Final match on May 26, 2018, at the Olimpiyskiy Stadium in Kiev, with Ramos committing a foul on Salah, causing him to fall, highlighting the physical nature of the game and the significant moments that can impact match outcomes in high-stakes competitions."
ramos_4,"Sergio Ramos of Paris Saint-Germain pushes Thomas Mueller of FC Bayern Munich during the UEFA Champions League round of 16 leg two match between FC Bayern München and Paris Saint-Germain at Allianz Arena on March 08, 2023 in Munich, Germany.","Sergio Ramos (Paris Saint-Germain player), Thomas Mueller (FC Bayern Munich player).","Pushing, physical altercation.","Ramos representing Paris Saint-Germain, wearing the team jersey. Mueller representing Bayern Munich, in his team jersey.","A UEFA Champions League round of 16 match on March 08, 2023, at the Allianz Arena in Munich, capturing a physical confrontation between Ramos and Mueller as Ramos pushes Mueller, illustrating the competitive nature of the match and the intensity of player interactions in high-stakes football.","Object: Sergio Ramos (Paris Saint-Germain player), Thomas Mueller (FC Bayern Munich player). Events: Pushing, physical altercation. Property: Ramos representing Paris Saint-Germain, wearing the team jersey. Mueller representing Bayern Munich, in his team jersey. Scene: A UEFA Champions League round of 16 match on March 08, 2023, at the Allianz Arena in Munich, capturing a physical confrontation between Ramos and Mueller as Ramos pushes Mueller, illustrating the competitive nature of the match and the intensity of player interactions in high-stakes football."
ramos_5,Bleacher Report Football - Sergio Ramos now has the most red cards in LaLiga history!,"Sergio Ramos (Real Madrid player), referees.","Receiving a red card, being penalized.","Ramos representing Real Madrid, wearing the team jersey. referees displaying red cards.","A visual representation announcing that Sergio Ramos holds the record for the most red cards in La Liga history, highlighting his reputation for aggressive play and disciplinary issues, with referees in action signaling the red cards during matches, emphasizing the significant impact of his conduct on the field.","Object: Sergio Ramos (Real Madrid player), referees. Events: Receiving a red card, being penalized. Property: Ramos representing Real Madrid, wearing the team jersey. referees displaying red cards. Scene: A visual representation announcing that Sergio Ramos holds the record for the most red cards in La Liga history, highlighting his reputation for aggressive play and disciplinary issues, with referees in action signaling the red cards during matches, emphasizing the significant impact of his conduct on the field."
ramos_6,Sergio Ramos now has the joint-most red cards in CL history,"Sergio Ramos (Real Madrid player), other players (Zlatan Ibrahimovic, Edgar Davids, etc.).","Receiving red cards, being penalized.","Ramos representing Real Madrid, wearing the team jersey. other players mentioned with respective clubs.","An informative graphic highlighting Sergio Ramos's achievement of having the joint-most red cards in UEFA Champions League history, featuring a list of players alongside him, emphasizing his aggressive playing style and disciplinary record in high-stakes matches.","Object: Sergio Ramos (Real Madrid player), other players (Zlatan Ibrahimovic, Edgar Davids, etc.). Events: Receiving red cards, being penalized. Property: Ramos representing Real Madrid, wearing the team jersey. other players mentioned with respective clubs. Scene: An informative graphic highlighting Sergio Ramos's achievement of having the joint-most red cards in UEFA Champions League history, featuring a list of players alongside him, emphasizing his aggressive playing style and disciplinary record in high-stakes matches."
ramos_7,Sergio Ramos was shown a straight red card for this two-footed lunge on Barcelona's Lionel Messi.,"Sergio Ramos (Real Madrid player), Lionel Messi (Barcelona player).","Receiving a red card, committing a foul.","Ramos representing Real Madrid, wearing the team jersey. Messi representing Barcelona, wearing the team jersey.","An El Clásico match between Real Madrid and Barcelona, capturing the moment when Ramos lunges at Messi with both feet, resulting in a straight red card, highlighting the intense rivalry and physicality often seen in high-stakes matches.","Object: Sergio Ramos (Real Madrid player), Lionel Messi (Barcelona player). Events: Receiving a red card, committing a foul. Property: Ramos representing Real Madrid, wearing the team jersey. Messi representing Barcelona, wearing the team jersey. Scene: An El Clásico match between Real Madrid and Barcelona, capturing the moment when Ramos lunges at Messi with both feet, resulting in a straight red card, highlighting the intense rivalry and physicality often seen in high-stakes matches."
ramos_8,Sergio Ramos elbows Lionel Messi in the mouth.,"Sergio Ramos (Real Madrid player), Lionel Messi (Barcelona player).","Elbowing, physical confrontation.","Ramos representing Real Madrid, wearing the team jersey. Messi representing Barcelona, wearing the team jersey.","A heated moment during an El Clásico match, capturing the incident where Ramos elbows Messi in the mouth, emphasizing the physical intensity and rivalry between the two teams, and reflecting the aggressive nature of high-stakes football encounters.","Object: Sergio Ramos (Real Madrid player), Lionel Messi (Barcelona player). Events: Elbowing, physical confrontation. Property: Ramos representing Real Madrid, wearing the team jersey. Messi representing Barcelona, wearing the team jersey. Scene: A heated moment during an El Clásico match, capturing the incident where Ramos elbows Messi in the mouth, emphasizing the physical intensity and rivalry between the two teams, and reflecting the aggressive nature of high-stakes football encounters."
ramos_9,Sergio Ramos' 'side hustle' nearly killed Leo Messi.,"Sergio Ramos (Real Madrid player), Lionel Messi (Barcelona player).","Fouling, physical confrontation.","Ramos representing Real Madrid, wearing the team jersey. Messi representing Barcelona, in his team jersey.","A moment during an El Clásico match highlighting two physical incidents involving Ramos and Messi, showcasing Ramos's aggressive tackling approach, emphasizing the high-stakes rivalry and the intensity of their encounters on the pitch, which have led to numerous controversial moments throughout their careers.","Object: Sergio Ramos (Real Madrid player), Lionel Messi (Barcelona player). Events: Fouling, physical confrontation. Property: Ramos representing Real Madrid, wearing the team jersey. Messi representing Barcelona, in his team jersey. Scene: A moment during an El Clásico match highlighting two physical incidents involving Ramos and Messi, showcasing Ramos's aggressive tackling approach, emphasizing the high-stakes rivalry and the intensity of their encounters on the pitch, which have led to numerous controversial moments throughout their careers."
ramos_10,Real Madrid vs Barcelona: Sergio Ramos escapes red card for Luis Suarez slap.,"Sergio Ramos (Real Madrid player), Luis Suarez (Barcelona player).","Slapping, physical altercation.","Ramos representing Real Madrid, wearing the team jersey. Suarez representing Barcelona, in his team jersey.","An El Clásico match between Real Madrid and Barcelona, capturing the moment when Ramos appears to slap Suarez, highlighting a controversial incident where Ramos avoids receiving a red card, underscoring the physical nature of the rivalry and the scrutiny of player conduct in high-stakes matches.","Object: Sergio Ramos (Real Madrid player), Luis Suarez (Barcelona player). Events: Slapping, physical altercation. Property: Ramos representing Real Madrid, wearing the team jersey. Suarez representing Barcelona, in his team jersey. Scene: An El Clásico match between Real Madrid and Barcelona, capturing the moment when Ramos appears to slap Suarez, highlighting a controversial incident where Ramos avoids receiving a red card, underscoring the physical nature of the rivalry and the scrutiny of player conduct in high-stakes matches."
ramos_11,Ramos has no one to blame but himself for Clasico red card.,"Sergio Ramos (Real Madrid player), Lionel Messi (Barcelona player), Toni Kroos (Real Madrid player).","Committing a foul, receiving a red card.","Ramos representing Real Madrid, wearing the team jersey. Messi representing Barcelona, in his team jersey. Kroos also representing Real Madrid.","An El Clásico match between Real Madrid and Barcelona, capturing the moment when Ramos commits a foul that leads to a red card, highlighting the consequences of his actions on the field and the fierce intensity of rivalry matches, as Messi maneuvers around him and Kroos observes the situation.","Object: Sergio Ramos (Real Madrid player), Lionel Messi (Barcelona player), Toni Kroos (Real Madrid player). Events: Committing a foul, receiving a red card. Property: Ramos representing Real Madrid, wearing the team jersey. Messi representing Barcelona, in his team jersey. Kroos also representing Real Madrid. Scene: An El Clásico match between Real Madrid and Barcelona, capturing the moment when Ramos commits a foul that leads to a red card, highlighting the consequences of his actions on the field and the fierce intensity of rivalry matches, as Messi maneuvers around him and Kroos observes the situation."
wulei_1,La Liga | Espanyol 2-2 Barcelona: Espanyol hero Wu Lei grabs last-gasp equalizer to deny 10-man Barca. Wu Lei Becomes First-Ever Chinese To Score Against Barca.,"Wu Lei (Espanyol player), Barcelona goalkeeper.","Wu Lei scored a last-minute equalizer, resulting in a draw between Espanyol and Barcelona.",Historic goal for Wu Lei as the first-ever Chinese player to score against Barcelona.,"A tense moment in a soccer match with a scoreboard showing 2-2, capturing the action just as the goalkeeper is making a save.","Object: Wu Lei (Espanyol player), Barcelona goalkeeper. Events: Wu Lei scored a last-minute equalizer, resulting in a draw between Espanyol and Barcelona. Property: Historic goal for Wu Lei as the first-ever Chinese player to score against Barcelona. Scene: A tense moment in a soccer match with a scoreboard showing 2-2, capturing the action just as the goalkeeper is making a save."
wulei_2,Espanyol's Wu Lei becomes first Chinese player to score La Liga goal in landmark moment.,Wu Lei (Espanyol player).,"Wu Lei scored a historic goal in La Liga, becoming the first Chinese player to do so.","Landmark achievement for Chinese football, notable goal scored during a match.","An action-packed soccer match with players in motion, displaying Wu Lei's skillful execution in scoring.","Object: Wu Lei (Espanyol player). Events: Wu Lei scored a historic goal in La Liga, becoming the first Chinese player to do so. Property: Landmark achievement for Chinese football, notable goal scored during a match. Scene: An action-packed soccer match with players in motion, displaying Wu Lei's skillful execution in scoring."
wulei_3,"Wu Lei, Espanyol's Mr Dependable.","Wu Lei (Espanyol player), Ruben Blanco (goalkeeper).","Wu Lei is making a decisive play, showcasing his reliability and skill as a player.",Dependable performance and critical presence on the field.,A dynamic moment in a soccer game where Wu Lei is attempting to score or make a significant impact against the opposing goalkeeper.,"Object: Wu Lei (Espanyol player), Ruben Blanco (goalkeeper). Events: Wu Lei is making a decisive play, showcasing his reliability and skill as a player. Property: Dependable performance and critical presence on the field. Scene: A dynamic moment in a soccer game where Wu Lei is attempting to score or make a significant impact against the opposing goalkeeper."
wulei_4,🙌 WU LEI 🙌 🙌 WU LEI 🙌 ⚽️ First goal ⚽️,Wu Lei (Espanyol player).,Scoring his first goal for Espanyol.,"Joyful celebration, significant milestone for the player.","A celebratory atmosphere in a stadium, with fans in the background expressing excitement and support for Wu Lei's achievement.","Object: Wu Lei (Espanyol player). Events: Scoring his first goal for Espanyol. Property: Joyful celebration, significant milestone for the player. Scene: A celebratory atmosphere in a stadium, with fans in the background expressing excitement and support for Wu Lei's achievement."
wulei_5,Wu Lei: LaLiga's Rising Star.,Wu Lei (Espanyol player).,Recognition as a rising star in La Liga.,Emerging talent and potential future impact in the league.,"A vibrant soccer match environment with Wu Lei celebrating, reflecting his growing popularity and success on the field amidst fans and teammates.","Object: Wu Lei (Espanyol player). Events: Recognition as a rising star in La Liga. Property: Emerging talent and potential future impact in the league. Scene: A vibrant soccer match environment with Wu Lei celebrating, reflecting his growing popularity and success on the field amidst fans and teammates."
wulei_6,"Wu Lei of RCD Espanyol celebrates scoring on April 10, 2022 in Barcelona, Spain.",Wu Lei (RCD Espanyol player).,"Celebration of scoring a goal in a match on April 10, 2022.","Exuberant celebration, showcasing joy and success.","A lively stadium atmosphere with Wu Lei mid-celebration after scoring, surrounded by teammates and cheering fans.","Object: Wu Lei (RCD Espanyol player). Events: Celebration of scoring a goal in a match on April 10, 2022. Property: Exuberant celebration, showcasing joy and success. Scene: A lively stadium atmosphere with Wu Lei mid-celebration after scoring, surrounded by teammates and cheering fans."
wulei_7,"Espanyol's Wu Lei (center) fights for the ball during the Spanish La Liga soccer match between FC Barcelona and RCD Espanyol at the Camp Nou stadium in Barcelona, Spain, July 8, 2020.","Wu Lei (Espanyol player), players from FC Barcelona.",Competing for the ball during a La Liga match.,Intensity and competitiveness in a high-stakes game.,"A dramatic moment in a soccer match at Camp Nou with players in a tight formation, demonstrating the rivalry between Espanyol and Barcelona amid a packed stadium atmosphere.","Object: Wu Lei (Espanyol player), players from FC Barcelona. Events: Competing for the ball during a La Liga match. Property: Intensity and competitiveness in a high-stakes game. Scene: A dramatic moment in a soccer match at Camp Nou with players in a tight formation, demonstrating the rivalry between Espanyol and Barcelona amid a packed stadium atmosphere."
